Username,Top Repository,Github,Repository URL,Ratings
thangchung,clean-code-dotnet,https://github.com//thangchung,https://github.com//thangchung/clean-code-dotnet,6700
RicoSuter,NSwag,https://github.com//RicoSuter,https://github.com//RicoSuter/NSwag,6400
FastEndpoints,FastEndpoints,https://github.com//FastEndpoints,https://github.com//FastEndpoints/FastEndpoints,3700
dotnet,aspnet-api-versioning,https://github.com//dotnet,https://github.com//dotnet/aspnet-api-versioning,2900
smartstore,SmartStoreNET,https://github.com//smartstore,https://github.com//smartstore/SmartStoreNET,2600
mjebrahimi,Awesome-Microservices-DotNet,https://github.com//mjebrahimi,https://github.com//mjebrahimi/Awesome-Microservices-DotNet,2500
serenity-is,Serenity,https://github.com//serenity-is,https://github.com//serenity-is/Serenity,2500
JimBobSquarePants,ImageProcessor,https://github.com//JimBobSquarePants,https://github.com//JimBobSquarePants/ImageProcessor,2500
loic-sharma,BaGet,https://github.com//loic-sharma,https://github.com//loic-sharma/BaGet,2500
TrilonIO,aspnetcore-angular-universal,https://github.com//TrilonIO,https://github.com//TrilonIO/aspnetcore-angular-universal,1500
milanm,DotNet-Developer-Roadmap,https://github.com//milanm,https://github.com//milanm/DotNet-Developer-Roadmap,1200
TrilonIO,aspnetcore-Vue-starter,https://github.com//TrilonIO,https://github.com//TrilonIO/aspnetcore-Vue-starter,1200
MarimerLLC,csla,https://github.com//MarimerLLC,https://github.com//MarimerLLC/csla,1200
smartstore,Smartstore,https://github.com//smartstore,https://github.com//smartstore/Smartstore,1000
atom,atom,https://github.com//atom,https://github.com//atom/atom,59900
miniflux,v2,https://github.com//miniflux,https://github.com//miniflux/v2,5900
themerdev,themer,https://github.com//themerdev,https://github.com//themerdev/themer,5300
shd101wyy,markdown-preview-enhanced,https://github.com//shd101wyy,https://github.com//shd101wyy/markdown-preview-enhanced,4000
nteract,hydrogen,https://github.com//nteract,https://github.com//nteract/hydrogen,3900
atom,teletype,https://github.com//atom,https://github.com//atom/teletype,2400
mmcdole,gofeed,https://github.com//mmcdole,https://github.com//mmcdole/gofeed,2400
feeddd,feeds,https://github.com//feeddd,https://github.com//feeddd/feeds,2100
NaiboWang,CommandlineConfig,https://github.com//NaiboWang,https://github.com//NaiboWang/CommandlineConfig,2000
mehcode,awesome-atom,https://github.com//mehcode,https://github.com//mehcode/awesome-atom,1900
kurtmckee,feedparser,https://github.com//kurtmckee,https://github.com//kurtmckee/feedparser,1800
ocaml,merlin,https://github.com//ocaml,https://github.com//ocaml/merlin,1500
simplepie,simplepie,https://github.com//simplepie,https://github.com//simplepie/simplepie,1500
joefitzgerald,go-plus,https://github.com//joefitzgerald,https://github.com//joefitzgerald/go-plus,1500
Glavin001,atom-beautify,https://github.com//Glavin001,https://github.com//Glavin001/atom-beautify,1500
fwcd,kotlin-language-server,https://github.com//fwcd,https://github.com//fwcd/kotlin-language-server,1400
t9md,atom-vim-mode-plus,https://github.com//t9md,https://github.com//t9md/atom-vim-mode-plus,1400
MagicStack,MagicPython,https://github.com//MagicStack,https://github.com//MagicStack/MagicPython,1400
martinrotter,rssguard,https://github.com//martinrotter,https://github.com//martinrotter/rssguard,1300
file-icons,atom,https://github.com//file-icons,https://github.com//file-icons/atom,1300
sindresorhus,awesome,https://github.com//sindresorhus,https://github.com//sindresorhus/awesome,292000
vinta,awesome-python,https://github.com//vinta,https://github.com//vinta/awesome-python,199000
awesome-selfhosted,awesome-selfhosted,https://github.com//awesome-selfhosted,https://github.com//awesome-selfhosted/awesome-selfhosted,171000
trimstray,the-book-of-secret-knowledge,https://github.com//trimstray,https://github.com//trimstray/the-book-of-secret-knowledge,124000
avelino,awesome-go,https://github.com//avelino,https://github.com//avelino/awesome-go,117000
521xueweihan,HelloGitHub,https://github.com//521xueweihan,https://github.com//521xueweihan/HelloGitHub,82500
papers-we-love,papers-we-love,https://github.com//papers-we-love,https://github.com//papers-we-love/papers-we-love,82000
Hack-with-Github,Awesome-Hacking,https://github.com//Hack-with-Github,https://github.com//Hack-with-Github/Awesome-Hacking,75100
jaywcjlove,awesome-mac,https://github.com//jaywcjlove,https://github.com//jaywcjlove/awesome-mac,69400
DopplerHQ,awesome-interview-questions,https://github.com//DopplerHQ,https://github.com//DopplerHQ/awesome-interview-questions,65000
MunGell,awesome-for-beginners,https://github.com//MunGell,https://github.com//MunGell/awesome-for-beginners,62000
